,Number of Medicare Beneficiaries-2012,Total Drug Medicare Payment Amount-2012,Total Medical Medicare Payment Amount-2012,Number of Medicare Beneficiaries-2013,Total Drug Medicare Payment Amount-2013,Total Medical Medicare Payment Amount-2013,Number of Medicare Beneficiaries-2014,Total Drug Medicare Payment Amount-2014,Total Medical Medicare Payment Amount-2014,Number of Medicare Beneficiaries-2015,Total Drug Medicare Payment Amount-2015,Total Medical Medicare Payment Amount-2015,Number of Medicare Beneficiaries-2016,Total Drug Medicare Payment Amount-2016,Total Medical Medicare Payment Amount-2016,Number of Medicare Beneficiaries-2017,Total Drug Medicare Payment Amount-2017,Total Medical Medicare Payment Amount-2017,Number of Medicare Beneficiaries-2018,Total Drug Medicare Payment Amount-2018,Total Medical Medicare Payment Amount-2018
1265526180,26.0,0.0,6275.19,44.0,0.0,10112.87,33.0,0.0,8891.36,50.0,0.0,9619.72,22.0,0.0,2841.39,23.0,0.0,4138.5,17.0,0.0,3185.03
1265528970,538.0,,,560.0,0.0,136682.32,670.0,0.0,171810.17,893.0,0.0,201601.04,691.0,0.0,179358.47,853.0,,,1019.0,,
1265531172,628.0,0.0,405608.04,612.0,0.0,391491.35,606.0,0.0,339658.76,595.0,0.0,351255.13,565.0,,,533.0,0.0,364143.38,507.0,0.0,383201.28
1265561211,1849.0,0.0,813662.73,1820.0,,,1740.0,,,1709.0,0.0,737844.99,1750.0,0.0,723919.42,1724.0,0.0,775955.38,1760.0,0.0,745873.12
1265571608,561.0,96942.55,167230.85,521.0,77776.62,131721.3,499.0,,,468.0,67959.83,86970.88,405.0,,,387.0,,,370.0,,
1265588784,484.0,0.0,74437.43,464.0,0.0,63420.26,447.0,0.0,56634.13,424.0,0.0,48299.17,424.0,0.0,48189.7,433.0,0.0,43340.13,419.0,0.0,48634.47
1265591630,,,,,,,258.0,37329.72,186938.45,,,,,,,,,,,,
1265591994,177.0,3650.22,133566.36,184.0,5627.6,127192.31,210.0,2791.25,196123.72,216.0,112374.07,214894.76,211.0,326022.8,133800.43,194.0,311009.87,116214.17,217.0,115924.57,179515.38
1265594048,363.0,942.26,268941.39,576.0,2028.29,339887.35,447.0,5929.67,279603.33,253.0,,,386.0,21658.48,221236.09,392.0,21691.47,226515.79,410.0,22143.19,236255.38
1265606461,98.0,0.0,18195.85,265.0,33075.32,123211.63,438.0,125538.62,328937.09,571.0,176054.62,388699.14,637.0,189954.86,431039.78,809.0,305314.16,464167.29,916.0,513810.74,494825.03
1265610240,748.0,0.0,164863.05,450.0,0.0,88235.15,138.0,0.0,23639.73,284.0,0.0,73614.01,401.0,0.0,98034.0,235.0,0.0,94487.57,440.0,,
1265612899,173.0,,,167.0,,,159.0,,,148.0,,,40.0,,,,,,,,
1265663520,,,,203.0,0.0,9694.73,181.0,0.0,9112.62,12.0,0.0,3050.81,13.0,0.0,2125.96,18.0,0.0,1804.38,24.0,0.0,5518.05
1265729081,,,,,,,,,,,,,,,,47.0,0.0,5287.27,49.0,0.0,5639.99
1265745780,,,,,,,33.0,0.0,6576.29,286.0,0.0,111954.96,,,,,,,13.0,0.0,2884.4
1265874275,,,,32.0,0.0,3987.22,89.0,0.0,23577.01,120.0,0.0,30842.04,117.0,0.0,23389.8,127.0,0.0,22400.59,83.0,0.0,9903.05
1265875611,,,,,,,,,,,,,,,,101.0,61382.19,19087.64,869.0,590839.1,360310.59
1275504524,848.0,0.0,353945.01,782.0,0.0,315293.57,777.0,0.0,318792.13,763.0,0.0,323366.3,712.0,0.0,291222.64,736.0,0.0,306172.27,691.0,0.0,257836.88
1275511396,985.0,0.0,298135.67,912.0,0.0,271325.25,865.0,0.0,239955.27,782.0,0.0,210347.75,736.0,0.0,170370.59,685.0,0.0,146172.48,617.0,0.0,121607.74
1275519233,495.0,,,492.0,39.27,278311.99,469.0,,,527.0,,,506.0,36.71,263556.24,547.0,,,607.0,,
1275523375,314.0,0.0,82963.11,362.0,0.0,85613.7,328.0,0.0,72992.01,317.0,0.0,70445.29,345.0,0.0,64617.74,392.0,0.0,76240.16,378.0,0.0,88789.4
1275544710,479.0,0.0,72787.06,550.0,0.0,71659.25,552.0,0.0,71482.82,705.0,0.0,87578.42,826.0,0.0,100637.41,890.0,0.0,120115.84,837.0,0.0,127839.26
1275552796,330.0,0.0,80688.65,295.0,0.0,75026.13,279.0,0.0,75689.21,232.0,0.0,59621.56,185.0,0.0,40021.52,145.0,0.0,27112.4,126.0,0.0,27097.0
1275553158,11.0,,,19.0,,,27.0,,,20.0,0.0,8670.16,,,,,,,,,
1275581126,183.0,,,196.0,,,201.0,,,415.0,,,195.0,,,76.0,0.0,11733.49,,,
1275589756,727.0,0.0,326760.64,749.0,0.0,320199.81,828.0,0.0,359653.19,943.0,0.0,393656.79,1067.0,0.0,400967.51,970.0,0.0,361275.11,980.0,0.0,385578.07
1275591349,327.0,0.0,202959.87,315.0,0.0,141300.52,303.0,0.0,161699.22,314.0,0.0,185138.73,313.0,0.0,188135.32,292.0,0.0,191549.71,281.0,0.0,155794.39
1275611170,22.0,0.0,3196.4,17.0,0.0,1086.49,,,,,,,,,,,,,,,
1275613432,844.0,0.0,218706.64,433.0,0.0,91031.7,682.0,0.0,217119.27,823.0,0.0,242399.4,882.0,0.0,263220.99,910.0,0.0,239766.09,993.0,0.0,256681.39
1275616963,528.0,0.0,186025.88,477.0,0.0,203844.34,410.0,0.0,158566.76,,,,,,,,,,,,
1275623373,33.0,0.0,7586.6,27.0,0.0,6599.77,21.0,0.0,4130.14,,,,,,,,,,,,
1275624090,740.0,10302.68,260830.26,663.0,9597.56,190252.09,606.0,8176.39,162064.08,553.0,9308.63,157609.82,638.0,8611.18,167707.19,684.0,7948.09,214435.14,727.0,11261.44,212227.18
1275626897,1024.0,0.0,811732.92,992.0,0.0,664527.01,899.0,0.0,609442.7,790.0,0.0,567081.62,788.0,0.0,649039.56,851.0,,,741.0,0.0,607652.96
1275662090,519.0,,,445.0,,,401.0,,,28.0,0.0,840.42,,,,,,,,,
1275681132,196.0,0.0,20697.4,175.0,0.0,19493.82,,,,,,,,,,,,,,,
1275703019,458.0,0.0,194316.22,450.0,0.0,158293.86,613.0,0.0,227754.14,613.0,0.0,202434.87,789.0,0.0,252116.47,816.0,,,924.0,0.0,297503.42
1275791881,,,,,,,,,,,,,,,,,,,807.0,120288.49,224648.35
1275832768,,,,,,,,,,,,,11.0,0.0,889.8,23.0,0.0,10986.83,41.0,0.0,12256.38
1275853608,,,,13.0,0.0,2859.12,78.0,0.0,10683.59,305.0,0.0,35821.47,240.0,0.0,44817.25,392.0,0.0,54398.22,418.0,0.0,69944.59
1275890246,,,,,,,,,,,,,,,,35.0,0.0,7142.27,64.0,0.0,14940.23
1275950115,,,,,,,,,,,,,,,,,,,50.0,0.0,4366.22
1275971855,,,,,,,,,,,,,,,,49.0,0.0,4292.31,103.0,0.0,11013.46
1285049940,,,,,,,,,,,,,,,,,,,479.0,,
1285605303,1291.0,,,1264.0,,,1353.0,,,1298.0,,,1324.0,,,1563.0,,,1423.0,,
1285622662,2479.0,0.0,2725509.24,2444.0,0.0,2670170.51,2211.0,0.0,2226604.31,2084.0,0.0,2046238.27,1737.0,0.0,1610205.11,1648.0,0.0,1607497.0,1475.0,,
1285624213,358.0,0.0,129782.53,355.0,0.0,114809.91,80.0,0.0,17869.19,55.0,0.0,22530.87,58.0,0.0,22668.65,56.0,0.0,20969.79,66.0,0.0,19447.07
1285624320,121.0,0.0,19258.89,116.0,0.0,20643.18,117.0,0.0,25036.23,129.0,0.0,20043.08,124.0,0.0,19524.37,103.0,0.0,21101.21,131.0,0.0,24165.52
1285625624,1428.0,0.0,299522.06,1447.0,0.0,307126.18,1406.0,0.0,288957.77,1400.0,0.0,275034.48,1392.0,0.0,250264.84,,,,,,
1285637157,1585.0,0.0,547592.67,1526.0,0.0,470063.77,1615.0,0.0,473085.24,1609.0,0.0,450417.42,1554.0,0.0,432560.06,1655.0,0.0,449801.46,1817.0,0.0,522546.89
1285637652,,,,,,,143.0,0.0,22687.69,732.0,0.0,75422.69,1714.0,0.0,223006.55,1378.0,0.0,185617.54,1652.0,0.0,262711.14
1285637702,158.0,0.0,23827.72,156.0,0.0,23638.27,153.0,0.0,23114.96,148.0,0.0,22241.73,149.0,0.0,23327.32,152.0,0.0,19467.78,95.0,0.0,11921.39
1285646398,,,,,,,,,,422.0,0.0,61916.76,453.0,0.0,74423.74,459.0,0.0,82382.75,393.0,0.0,61279.61
1285654939,,,,13.0,0.0,4047.0,11.0,,,12.0,0.0,3255.78,21.0,,,17.0,0.0,3304.23,20.0,0.0,2032.6
1285656280,1183.0,8013.25,188262.99,1059.0,,,1016.0,,,739.0,,,652.0,,,598.0,,,437.0,,
1285662536,780.0,0.0,217729.25,838.0,0.0,204743.89,897.0,0.0,284555.58,828.0,0.0,218780.62,761.0,0.0,212495.33,780.0,,,900.0,0.0,332541.11
1285675629,194.0,,,238.0,20419.34,141737.3,238.0,33761.82,137715.65,251.0,51336.56,215079.38,263.0,93301.38,225891.66,279.0,94303.35,219470.43,981.0,76305.29,459175.54
1285714360,617.0,,,553.0,4390.54,172226.16,593.0,,,671.0,,,719.0,,,855.0,8993.79,257143.67,770.0,,
1285720680,19.0,0.0,3458.03,14.0,0.0,2262.0,16.0,0.0,3304.27,22.0,0.0,4390.8,24.0,0.0,4157.24,,,,,,
1285722181,907.0,,,929.0,0.0,354524.48,963.0,,,1103.0,,,1103.0,,,1079.0,,,1081.0,,
1285723411,683.0,0.0,355203.88,677.0,0.0,333217.41,704.0,0.0,378896.24,715.0,0.0,348835.34,705.0,0.0,326000.26,696.0,0.0,275159.09,677.0,0.0,293348.18
1285732560,736.0,0.0,93557.55,759.0,0.0,100355.66,731.0,0.0,90480.53,839.0,0.0,103594.53,768.0,0.0,92323.56,708.0,0.0,85622.4,829.0,0.0,107037.29
1285732669,69.0,0.0,10198.3,60.0,0.0,10538.48,11.0,0.0,1112.36,,,,,,,,,,,,
1285732727,926.0,,,975.0,,,1103.0,,,925.0,,,959.0,,,989.0,,,958.0,,
1285743153,851.0,0.0,311232.59,880.0,0.0,322983.29,996.0,0.0,364948.11,1020.0,,,972.0,,,895.0,0.0,333794.96,956.0,0.0,372411.72
1285782847,1683.0,15786.95,1336459.97,1642.0,17263.32,1206611.0,1618.0,14338.32,1047230.77,1297.0,14310.21,793605.81,1150.0,,,947.0,,,988.0,,
1285825158,428.0,,,541.0,0.0,143342.42,451.0,0.0,124739.38,843.0,0.0,251581.35,745.0,0.0,238342.05,749.0,0.0,220353.15,682.0,,
1285830919,,,,58.0,0.0,8505.23,603.0,57466.7,168614.18,,,,,,,,,,,,
1285884106,,,,,,,,,,351.0,0.0,134702.13,319.0,0.0,152736.0,338.0,0.0,165351.29,333.0,0.0,189473.75
1285888628,729.0,5365.05,200271.4,1538.0,34788.21,597819.58,1503.0,66953.1,603662.12,1368.0,158613.43,648006.39,1295.0,179250.84,451538.71,1133.0,192408.0,428943.74,1145.0,201713.57,509715.12
1295077402,,,,,,,,,,,,,,,,276.0,59158.94,82938.55,606.0,263563.73,211126.75
1295093292,,,,,,,,,,,,,21.0,0.0,2437.22,18.0,0.0,1495.69,20.0,0.0,2438.75
1295095669,,,,,,,,,,,,,,,,,,,108.0,28717.22,20953.91
1295134286,,,,,,,124.0,0.0,19407.94,325.0,45595.72,55333.9,173.0,23472.67,19909.21,,,,,,
1295729465,2397.0,,,2475.0,,,2546.0,,,2589.0,,,2640.0,,,1737.0,,,1697.0,,
1295730927,209.0,0.0,18446.06,199.0,0.0,19526.3,249.0,0.0,22763.38,152.0,0.0,11605.96,,,,,,,,,
1295736916,2549.0,2952404.75,1902845.46,2642.0,3876405.43,1397276.6,2768.0,3703794.18,1362774.75,2801.0,3529497.67,1387196.83,2913.0,3483313.17,1379811.38,2873.0,3499212.0,1298801.29,2865.0,3619375.56,1299846.97
1295778819,576.0,0.0,73036.12,595.0,0.0,79223.32,578.0,0.0,84020.25,616.0,0.0,90634.56,677.0,0.0,96059.36,723.0,0.0,92135.99,782.0,0.0,104804.82
1295797520,787.0,,,736.0,0.0,285911.27,772.0,0.0,318485.72,786.0,0.0,336979.49,738.0,0.0,265735.65,763.0,0.0,282162.66,827.0,,
1295814341,25.0,0.0,2046.95,26.0,,,32.0,0.0,2608.19,29.0,0.0,4945.87,24.0,0.0,1881.29,24.0,0.0,2587.67,23.0,0.0,1477.25
1295823755,2042.0,,,2056.0,,,2007.0,,,2116.0,,,2164.0,,,1942.0,,,1778.0,,
1295837805,463.0,0.0,67532.17,447.0,0.0,77955.06,404.0,0.0,69340.39,319.0,0.0,48378.62,,,,,,,,,
1295846285,510.0,0.0,133702.99,610.0,0.0,149166.67,592.0,0.0,172111.9,604.0,0.0,178750.79,588.0,0.0,175463.36,581.0,0.0,170537.57,508.0,0.0,140432.9
1295894368,1003.0,1047668.68,854051.83,1123.0,1871364.05,414014.03,1122.0,2112616.19,458669.6,977.0,1774406.86,354387.25,932.0,1986130.49,421649.3,833.0,1696614.69,372649.64,903.0,1657196.02,357954.02
1295896421,24.0,0.0,6256.44,14.0,0.0,4707.21,,,,,,,,,,,,,,,
1295913481,389.0,0.0,112087.38,498.0,,,502.0,0.0,157284.48,541.0,0.0,156251.71,520.0,,,551.0,0.0,134414.02,578.0,0.0,148719.3
1295930527,123.0,0.0,16247.39,31.0,0.0,2407.31,36.0,0.0,7042.44,412.0,,,68.0,0.0,8685.84,,,,,,
1306003132,,,,,,,,,,,,,61.0,,,221.0,38492.25,51092.95,306.0,61081.19,92911.86
1306016696,,,,38.0,0.0,7104.84,23.0,0.0,3234.49,,,,,,,17.0,0.0,2864.83,18.0,0.0,4702.38
1306023973,80.0,0.0,38814.6,116.0,,,183.0,,,291.0,42873.87,114934.73,352.0,182568.58,142538.81,357.0,178012.68,144549.39,414.0,154438.91,169224.03
1306026281,807.0,0.0,122608.89,1151.0,0.0,367299.42,1214.0,0.0,474736.71,1344.0,0.0,496077.66,1468.0,0.0,474402.08,1527.0,,,1708.0,0.0,541148.94
1306034574,21.0,0.0,6229.25,12.0,0.0,2658.36,11.0,0.0,1894.05,11.0,0.0,2674.39,23.0,0.0,4557.07,16.0,0.0,1334.95,16.0,0.0,2575.78
1306044102,86.0,,,116.0,,,203.0,,,286.0,5203.62,161568.02,490.0,9790.96,279027.29,451.0,10111.31,255737.39,599.0,12945.38,330918.18
1306047394,370.0,0.0,60533.48,432.0,0.0,72005.97,493.0,0.0,68448.33,337.0,,,323.0,0.0,44596.93,315.0,0.0,46144.44,361.0,,
1306076716,,,,,,,,,,,,,,,,184.0,0.0,22713.12,452.0,0.0,102561.72
1306092424,,,,,,,,,,,,,,,,68.0,0.0,34934.44,100.0,,
1306163589,,,,,,,,,,12.0,0.0,2090.71,59.0,0.0,6746.53,845.0,0.0,99492.21,548.0,,
1306173893,70.0,0.0,6238.55,116.0,0.0,9488.4,12.0,0.0,1271.47,14.0,0.0,3903.85,276.0,0.0,94160.57,617.0,,,638.0,,
1306224456,,,,,,,,,,,,,,,,,,,98.0,0.0,30052.55
1306804406,591.0,0.0,197257.69,586.0,0.0,185964.32,547.0,0.0,163422.27,534.0,0.0,165388.91,501.0,0.0,159912.94,490.0,0.0,148106.92,484.0,0.0,154588.28
1306807789,514.0,0.0,289685.9,478.0,0.0,223957.47,580.0,0.0,338798.06,730.0,0.0,407677.62,684.0,0.0,380545.5,662.0,0.0,314616.4,648.0,0.0,312890.73
1306812979,974.0,391867.63,665298.21,931.0,670606.45,513682.3,958.0,1128877.56,534406.32,974.0,1549489.44,550444.4,1048.0,1950396.43,610476.6,1167.0,2153333.01,593832.36,1164.0,2351373.29,613073.65
1306814371,241.0,0.0,54623.79,273.0,0.0,78890.78,362.0,0.0,146050.63,331.0,0.0,136591.95,359.0,0.0,141397.41,335.0,,,279.0,0.0,83294.39
1306842687,1122.0,0.0,268206.29,1029.0,0.0,240804.15,965.0,0.0,226497.45,992.0,0.0,216475.68,860.0,0.0,184679.41,801.0,0.0,186713.05,723.0,0.0,116939.42
1306852629,361.0,0.0,149026.08,375.0,0.0,128411.18,383.0,0.0,144717.08,366.0,0.0,129946.69,202.0,0.0,49312.21,774.0,0.0,246298.95,846.0,0.0,271151.68
1306869912,,,,42.0,0.0,3339.44,112.0,0.0,12334.93,98.0,0.0,8935.03,78.0,0.0,6541.15,66.0,0.0,5828.66,59.0,0.0,6844.11
1306872411,706.0,,,695.0,,,597.0,0.0,194871.03,451.0,0.0,143032.18,504.0,0.0,186226.0,545.0,0.0,196264.35,492.0,0.0,190165.49
1306887435,713.0,0.0,250326.05,663.0,0.0,217701.24,630.0,0.0,181093.17,663.0,0.0,187951.94,536.0,0.0,151944.24,511.0,0.0,129081.07,519.0,0.0,155046.57
1306908108,285.0,0.0,116522.08,307.0,0.0,109675.43,348.0,,,346.0,,,368.0,,,431.0,,,465.0,552.56,177005.95
1306908223,2623.0,0.0,596916.1,2625.0,0.0,601142.46,2712.0,0.0,642163.74,2268.0,0.0,549566.0,2227.0,0.0,515867.91,2152.0,0.0,482557.71,2106.0,0.0,477705.78
1306909403,82.0,,,121.0,22211.25,126496.36,149.0,56636.07,143403.13,178.0,81469.44,136208.01,196.0,146935.9,159571.21,211.0,74922.28,156952.66,259.0,82053.97,180084.78
1306927744,,,,,,,,,,,,,,,,14.0,0.0,2406.28,15.0,0.0,3734.11
1306928221,836.0,4960.83,397264.28,793.0,17970.79,372532.24,776.0,6451.77,332521.77,752.0,28573.64,315980.03,723.0,57481.73,311584.52,697.0,20838.76,296530.39,659.0,25848.9,299587.83
1306929393,199.0,0.0,21250.93,156.0,0.0,17680.58,141.0,0.0,14534.41,109.0,0.0,12261.25,83.0,0.0,9538.14,31.0,0.0,2933.56,,,
1306940325,200.0,0.0,79974.52,254.0,0.0,73875.74,162.0,0.0,51225.25,180.0,,,159.0,0.0,66372.38,142.0,0.0,59120.73,214.0,0.0,67581.32
1306947643,242.0,0.0,45933.49,232.0,0.0,38253.94,199.0,0.0,31566.53,256.0,0.0,44378.36,273.0,0.0,43513.53,177.0,0.0,27187.68,168.0,0.0,25379.68
1306957329,507.0,,,641.0,,,771.0,,,840.0,,,891.0,,,946.0,,,1053.0,,
1306959259,1367.0,43634.87,270979.3,1710.0,40558.45,333159.33,1816.0,43643.32,337740.67,1628.0,41835.93,351573.15,1515.0,56054.34,327159.51,257.0,58083.28,79125.65,160.0,62284.38,67437.07
1306959499,162.0,0.0,18218.52,144.0,0.0,16986.01,138.0,0.0,13764.51,129.0,0.0,12276.12,112.0,0.0,9344.86,90.0,0.0,7806.75,86.0,0.0,8181.94
1306971239,321.0,0.0,71827.56,264.0,0.0,56916.2,232.0,0.0,52045.96,141.0,0.0,24398.28,153.0,0.0,25577.25,163.0,0.0,22074.12,159.0,0.0,20699.12
1306985049,,,,,,,,,,12.0,0.0,1139.02,,,,17.0,0.0,3524.51,11.0,0.0,2942.01
1306989017,196.0,0.0,51418.04,234.0,,,300.0,0.0,65163.41,455.0,,,109.0,0.0,20442.21,134.0,0.0,24970.19,335.0,0.0,105059.0
1306993571,,,,,,,,,,,,,,,,1282.0,417999.35,560232.96,1159.0,289531.56,788596.75
1316003304,532.0,429056.25,380630.61,616.0,836940.93,351475.3,641.0,957989.11,368118.8,607.0,1235266.09,344411.98,636.0,1142965.03,367292.3,688.0,1338871.3,419725.17,644.0,1382393.58,460610.55
1316005739,39.0,,,27.0,,,29.0,,,20.0,0.0,1532.32,14.0,0.0,1088.85,11.0,0.0,1075.86,16.0,0.0,1350.39
1316007230,1223.0,4403.07,644440.06,1210.0,5804.62,596866.31,1123.0,4042.78,486154.11,1000.0,6141.61,498081.93,960.0,3865.34,448178.31,954.0,9031.63,532501.75,915.0,7366.54,483842.14
1316009103,423.0,0.0,70504.46,414.0,0.0,68000.13,348.0,0.0,48969.82,355.0,0.0,91977.25,399.0,0.0,90359.84,458.0,0.0,85466.5,459.0,0.0,73294.81
1316027493,202.0,0.0,33726.5,133.0,0.0,52321.99,188.0,0.0,79855.8,218.0,0.0,78579.18,250.0,0.0,77247.0,269.0,0.0,88027.94,298.0,0.0,85900.56
1316038367,822.0,,,853.0,,,857.0,,,936.0,,,997.0,,,983.0,,,772.0,,
1316047228,176.0,0.0,59354.68,190.0,0.0,69701.5,183.0,0.0,46276.51,191.0,0.0,58959.46,199.0,0.0,63618.49,212.0,0.0,68240.97,204.0,0.0,62604.85
1316048382,563.0,0.0,233499.21,530.0,0.0,255479.57,514.0,0.0,175592.42,467.0,0.0,176563.11,241.0,0.0,86945.16,251.0,0.0,90436.32,315.0,0.0,110818.91
1316050578,457.0,0.0,171840.3,431.0,,,371.0,0.0,175043.08,426.0,,,479.0,0.0,216500.43,496.0,0.0,210561.29,499.0,,
1316058639,82.0,0.0,48196.49,172.0,0.0,108150.92,219.0,0.0,116966.78,333.0,0.0,188011.74,362.0,0.0,217357.92,408.0,0.0,186105.96,771.0,0.0,198421.29
1316092802,948.0,,,958.0,,,1024.0,,,1020.0,,,1037.0,,,1070.0,,,1052.0,,
1316108038,1392.0,2096.87,321648.46,1263.0,1473.5,324802.4,1389.0,7095.15,493557.89,1400.0,40288.55,539101.11,1563.0,105651.42,768432.07,1840.0,205516.13,692147.25,1535.0,185891.51,660636.99
1316139108,28.0,0.0,2448.63,,,,,,,85.0,0.0,15059.48,77.0,,,212.0,0.0,80102.28,406.0,0.0,184052.47
1316149735,153.0,0.0,20250.98,246.0,0.0,72693.33,246.0,0.0,79201.69,245.0,0.0,79339.02,312.0,0.0,92870.31,300.0,0.0,99854.9,219.0,0.0,54727.03
1316155443,286.0,55065.8,348364.71,500.0,83691.35,664629.81,623.0,128669.59,616909.67,656.0,170587.92,518082.15,,,,,,,,,
1316163454,13.0,0.0,5128.25,13.0,0.0,1366.45,,,,,,,,,,,,,,,
1316175607,424.0,0.0,41543.94,488.0,0.0,49554.05,453.0,0.0,47798.89,307.0,0.0,31742.26,240.0,0.0,22388.9,248.0,0.0,25276.45,223.0,0.0,22626.23
1316199326,331.0,0.0,110835.87,523.0,0.0,210201.13,524.0,0.0,237967.53,682.0,0.0,252616.51,844.0,0.0,366450.41,884.0,0.0,457143.62,836.0,0.0,627780.41
1316267180,,,,,,,102.0,0.0,11795.61,187.0,0.0,19983.9,80.0,0.0,7148.49,204.0,0.0,67628.57,180.0,0.0,34803.23
1316358971,,,,,,,,,,,,,,,,,,,121.0,,
1316932452,1124.0,0.0,277727.11,1115.0,0.0,249391.07,1121.0,0.0,262143.96,1096.0,0.0,266530.23,1017.0,0.0,235300.48,1027.0,0.0,167073.17,76.0,0.0,1944.7
1316940620,28.0,0.0,8635.15,23.0,0.0,9758.91,21.0,0.0,9357.25,29.0,0.0,6811.53,11.0,0.0,3602.47,13.0,0.0,1867.56,12.0,0.0,956.9
1316941966,862.0,0.0,792095.24,808.0,0.0,646171.83,820.0,0.0,633789.14,855.0,0.0,675336.78,798.0,0.0,649653.42,782.0,0.0,604580.31,757.0,0.0,569260.45
1316949779,1961.0,21895.0,759842.14,1833.0,63296.83,681644.67,1871.0,76617.74,713544.05,1815.0,117281.91,679060.84,1551.0,94387.96,524778.53,254.0,,,,,
1316952005,377.0,47794.19,276650.79,356.0,39148.3,259556.92,340.0,39500.15,249469.36,324.0,46337.79,236135.13,371.0,46417.67,260949.2,418.0,57244.84,289776.73,391.0,57644.84,259680.96
1316958440,935.0,0.0,249906.52,886.0,0.0,249904.54,765.0,0.0,198548.63,354.0,0.0,70988.81,337.0,0.0,78863.99,298.0,0.0,67901.16,273.0,0.0,62379.91
1316963507,919.0,0.0,126527.0,957.0,0.0,142707.86,1018.0,0.0,142992.17,1022.0,0.0,136763.33,987.0,0.0,130792.89,898.0,0.0,120002.32,928.0,0.0,131594.66
1316966138,1262.0,0.0,1253397.16,1343.0,0.0,1259647.88,1366.0,0.0,1166106.55,1278.0,0.0,1158100.35,1149.0,0.0,1083901.26,1124.0,0.0,1079033.24,1168.0,0.0,1139023.01
1316969462,509.0,0.0,130015.74,466.0,0.0,152156.76,462.0,0.0,137791.59,471.0,0.0,140669.35,407.0,0.0,118210.98,383.0,0.0,121176.57,406.0,0.0,106599.53
1316972649,350.0,5296.28,113408.03,372.0,2827.75,109853.37,364.0,,,396.0,,,416.0,5858.94,134442.16,417.0,22174.11,137134.63,453.0,32376.78,161076.02
1316978083,265.0,0.0,41119.27,244.0,0.0,41479.57,224.0,0.0,38234.61,183.0,0.0,31132.26,181.0,0.0,30508.14,205.0,0.0,33316.19,187.0,0.0,32201.17
1316979917,,,,17.0,0.0,4151.81,18.0,0.0,8178.89,13.0,0.0,3153.58,27.0,0.0,6922.28,29.0,0.0,9655.45,34.0,0.0,7641.56
1316980014,1281.0,1603888.38,957748.74,1326.0,2232469.17,964374.88,1506.0,2166712.75,1016589.74,1601.0,2551186.53,1062523.52,1449.0,3186549.86,1030636.6,1545.0,3573532.37,1062476.03,1620.0,3727799.8,1074947.53
1316984198,556.0,0.0,211672.94,795.0,0.0,264554.21,822.0,0.0,315536.23,685.0,0.0,294713.43,664.0,0.0,334979.1,718.0,0.0,312327.34,769.0,0.0,339789.72
1316992753,548.0,,,529.0,1078.45,214202.46,452.0,,,352.0,1337.36,153721.66,253.0,,,193.0,,,110.0,,
1326010620,441.0,,,326.0,,,372.0,,,350.0,,,345.0,,,324.0,,,348.0,,
1326041195,678.0,0.0,115854.35,673.0,0.0,123836.81,677.0,0.0,122260.47,661.0,0.0,122004.27,627.0,0.0,104668.53,661.0,0.0,112438.23,616.0,0.0,115699.98
1326041880,1049.0,456696.31,708441.85,1179.0,814937.79,767590.75,1225.0,658367.98,784770.82,1230.0,841629.98,802697.28,1321.0,1499824.25,869754.6,1459.0,1494563.57,891865.74,1664.0,1405121.6,938813.22
1326054370,466.0,0.0,82354.21,483.0,0.0,112619.32,431.0,0.0,92427.56,550.0,0.0,120219.56,496.0,0.0,110341.62,493.0,0.0,122295.52,513.0,,
1326056235,900.0,,,888.0,,,1056.0,,,1396.0,,,1550.0,,,1604.0,,,1508.0,,
1326059387,,,,,,,214.0,119705.83,115288.87,229.0,6391.4,59974.81,128.0,16831.34,40748.51,190.0,119290.05,98230.33,276.0,153703.8,160552.0
1326092529,797.0,19696.83,673974.65,863.0,18904.81,661874.42,1040.0,3081.4,787395.2,1167.0,2519.63,736485.8,1353.0,,,1545.0,1729.68,845414.6,1292.0,3896.68,735458.91
1326097072,1219.0,0.0,335757.4,1350.0,0.0,326963.31,1204.0,0.0,276951.51,1230.0,0.0,277953.1,1276.0,0.0,271370.29,1110.0,0.0,215915.22,1061.0,0.0,214660.65
1326104514,249.0,0.0,152505.21,281.0,0.0,221225.98,257.0,0.0,142281.98,258.0,0.0,160700.74,267.0,0.0,249485.71,283.0,0.0,365317.56,292.0,0.0,429709.18
1326106253,1258.0,0.0,231486.45,1216.0,0.0,227225.3,1145.0,0.0,226529.67,986.0,0.0,179327.45,966.0,0.0,129888.25,911.0,0.0,108010.55,563.0,0.0,63613.16
1326110131,17.0,0.0,3226.96,15.0,0.0,1377.94,,,,11.0,0.0,2141.71,13.0,0.0,2121.84,,,,,,
1326114166,366.0,0.0,126154.69,393.0,0.0,116501.99,153.0,0.0,28362.91,,,,,,,,,,,,
1326128455,806.0,0.0,378905.48,849.0,0.0,403851.01,906.0,0.0,395979.96,851.0,0.0,324689.11,887.0,0.0,349374.02,777.0,0.0,297674.35,455.0,0.0,215184.05
1326137795,138.0,0.0,16628.24,,,,,,,,,,,,,,,,,,
1326139825,1061.0,,,1242.0,,,1417.0,,,1518.0,,,1631.0,,,1633.0,,,1672.0,,
