,Number of Medicare Beneficiaries-2012,Total Drug Medicare Payment Amount-2012,Total Medical Medicare Payment Amount-2012,Number of Medicare Beneficiaries-2013,Total Drug Medicare Payment Amount-2013,Total Medical Medicare Payment Amount-2013,Number of Medicare Beneficiaries-2014,Total Drug Medicare Payment Amount-2014,Total Medical Medicare Payment Amount-2014,Number of Medicare Beneficiaries-2015,Total Drug Medicare Payment Amount-2015,Total Medical Medicare Payment Amount-2015,Number of Medicare Beneficiaries-2016,Total Drug Medicare Payment Amount-2016,Total Medical Medicare Payment Amount-2016,Number of Medicare Beneficiaries-2017,Total Drug Medicare Payment Amount-2017,Total Medical Medicare Payment Amount-2017,Number of Medicare Beneficiaries-2018,Total Drug Medicare Payment Amount-2018,Total Medical Medicare Payment Amount-2018
1013078427,1459.0,0.0,435496.17,1527.0,0.0,429675.74,1618.0,0.0,480716.39,1644.0,0.0,449063.66,1645.0,0.0,391668.43,1398.0,0.0,329999.04,1380.0,0.0,329878.67
1013095884,15.0,0.0,1459.86,21.0,0.0,1876.15,17.0,0.0,1515.55,14.0,0.0,1463.58,,,,,,,50.0,0.0,3229.79
1013123595,301.0,122244.21,130235.38,300.0,325993.27,132011.4,241.0,193722.52,78205.63,492.0,341095.97,291235.17,627.0,1209131.74,342821.76,674.0,2289606.32,354951.61,668.0,3116058.63,382955.03
1013145127,,,,27.0,0.0,2560.9,435.0,,,737.0,,,710.0,0.0,196874.45,857.0,0.0,241839.62,847.0,0.0,259600.11
1013195841,,,,,,,41.0,,,37.0,0.0,16589.63,55.0,0.0,24440.79,154.0,0.0,56105.61,134.0,0.0,47871.59
1013216860,,,,,,,,,,,,,78.0,0.0,9000.88,,,,,,
1013278118,,,,,,,,,,,,,93.0,0.0,9165.95,104.0,0.0,10952.93,55.0,0.0,5123.18
1013900182,1377.0,,,1444.0,,,1546.0,,,1673.0,,,1437.0,,,1567.0,,,1739.0,,
1013902618,492.0,0.0,142247.45,472.0,0.0,119840.35,443.0,0.0,110335.58,386.0,0.0,94717.33,346.0,0.0,87573.5,311.0,0.0,73207.09,198.0,0.0,35194.21
1013905389,920.0,688865.29,730289.47,897.0,732277.91,674220.29,895.0,626199.64,621713.73,928.0,457761.05,573670.17,885.0,457296.23,553428.58,988.0,568440.84,545423.17,1030.0,902532.06,591328.21
1013916733,723.0,0.0,239765.44,746.0,,,681.0,0.0,199035.14,648.0,0.0,203661.13,660.0,0.0,203545.81,656.0,0.0,219162.28,554.0,0.0,188908.83
1013921907,729.0,0.0,168039.53,627.0,0.0,132495.4,607.0,0.0,99191.24,85.0,0.0,6353.49,,,,,,,,,
1013922467,827.0,1422589.32,1169475.79,790.0,1790411.4,590545.26,828.0,1958638.01,608776.97,777.0,1920233.82,608740.38,610.0,1236770.49,386521.3,648.0,599809.57,272804.26,945.0,1238912.91,424383.25
1013924448,209.0,0.0,32618.78,,,,278.0,0.0,53611.09,270.0,0.0,48531.69,188.0,0.0,27504.13,,,,,,
1013927136,532.0,0.0,381531.63,482.0,0.0,390753.11,489.0,0.0,383455.82,466.0,0.0,325735.26,434.0,0.0,256808.05,392.0,0.0,232774.8,356.0,0.0,170057.54
1013935444,366.0,0.0,94180.68,311.0,0.0,76045.26,309.0,0.0,76367.17,280.0,0.0,85610.95,258.0,0.0,54366.5,277.0,0.0,45254.68,279.0,0.0,62356.16
1013968312,838.0,0.0,323622.09,776.0,0.0,284076.93,801.0,0.0,257945.59,838.0,0.0,267246.59,879.0,0.0,256179.22,845.0,0.0,226401.79,809.0,0.0,234846.17
1013974625,1908.0,14617.41,863591.53,1981.0,6179.63,924758.31,1295.0,34009.61,657148.02,1503.0,27381.66,939152.52,1725.0,89789.03,938469.58,1637.0,99652.65,848741.81,1491.0,133529.55,967704.89
1013986868,153.0,0.0,53306.62,50.0,0.0,5264.01,,,,,,,,,,,,,,,
1013990613,848.0,0.0,216627.15,900.0,0.0,210495.01,948.0,0.0,221359.75,867.0,0.0,194224.84,858.0,0.0,187767.82,825.0,0.0,191809.7,850.0,0.0,206334.25
1023008075,935.0,,,880.0,0.0,219361.76,867.0,,,794.0,,,745.0,0.0,102280.22,808.0,0.0,100952.06,901.0,,
1023011582,1315.0,,,1211.0,,,1133.0,,,999.0,,,769.0,,,,,,,,
1023016375,1382.0,371691.77,701896.58,1305.0,1222887.98,494232.93,1266.0,1920074.51,502966.43,1197.0,1884048.44,430198.95,1086.0,1940869.74,386092.1,953.0,2045434.7,347174.86,894.0,2079123.88,361416.68
1023022050,94.0,0.0,10621.23,120.0,0.0,13965.6,98.0,0.0,10208.57,73.0,0.0,8760.81,85.0,0.0,9728.32,89.0,0.0,9277.01,82.0,0.0,7771.65
1023030301,829.0,17541.27,345975.53,828.0,15927.43,318468.58,851.0,17251.95,347238.32,927.0,17722.13,360516.44,937.0,23260.18,371923.43,874.0,19030.76,324096.45,783.0,15423.26,295344.69
1023037215,455.0,80522.15,326199.92,586.0,120918.15,381950.67,695.0,92528.11,449739.09,664.0,259480.07,401530.77,668.0,71105.09,422546.72,676.0,63102.34,406779.72,666.0,56606.37,360330.69
1023040714,499.0,,,534.0,,,627.0,,,530.0,0.0,310148.43,507.0,0.0,341073.95,518.0,,,554.0,,
1023041662,931.0,39.5,509654.29,816.0,,,781.0,,,744.0,,,757.0,44.9,366382.99,722.0,,,732.0,26.34,363276.92
1023050655,1055.0,22342.69,529907.36,1161.0,22773.08,556971.56,1165.0,23917.74,609079.02,1217.0,22843.56,623338.72,1241.0,26877.59,643669.33,1301.0,36450.77,676250.41,1284.0,54182.91,727277.18
1023061314,1626.0,151320.36,1673081.21,773.0,177696.71,714001.3,898.0,130355.48,609465.59,595.0,133261.37,377377.19,392.0,66398.53,139890.8,86.0,,,42.0,0.0,3016.68
1023061959,980.0,0.0,302075.79,966.0,0.0,265653.41,868.0,0.0,217178.74,1027.0,0.0,276074.02,991.0,0.0,345089.76,987.0,0.0,352329.45,1087.0,0.0,420593.66
1023082393,1632.0,647066.52,1201199.25,1598.0,1473421.57,1119469.96,1446.0,1320703.45,1033274.64,1485.0,1238390.56,1093237.35,1236.0,581818.59,804268.41,1109.0,322988.6,686943.21,1106.0,419294.31,721876.82
1023103660,109.0,0.0,23036.12,98.0,0.0,14921.85,132.0,0.0,26363.21,130.0,0.0,20170.07,122.0,0.0,19164.11,123.0,0.0,17517.7,117.0,0.0,16477.26
1023105160,1365.0,,,1275.0,,,1152.0,0.0,515903.32,1205.0,0.0,527904.62,1305.0,,,1628.0,0.0,644650.22,1400.0,0.0,570668.94
1023109956,22.0,0.0,6316.47,32.0,0.0,7702.43,31.0,0.0,10620.15,26.0,0.0,6986.13,31.0,0.0,6764.93,22.0,0.0,6046.65,25.0,0.0,5938.86
1023117124,,,,,,,,,,,,,,,,512.0,2081.97,147910.09,409.0,,
1023127974,314.0,0.0,68762.78,341.0,0.0,79414.24,380.0,0.0,80738.29,420.0,0.0,80384.11,135.0,0.0,13464.38,,,,,,
1023129095,1171.0,0.0,355589.92,1068.0,0.0,279628.74,1019.0,0.0,257578.1,848.0,0.0,208322.0,712.0,0.0,238247.0,205.0,0.0,50213.74,31.0,0.0,16665.76
1023152378,806.0,10953.8,203243.62,99.0,0.0,12695.12,403.0,,,466.0,,,521.0,,,642.0,,,729.0,,
1023161676,,,,,,,,,,51.0,0.0,5576.14,83.0,,,68.0,0.0,11499.7,47.0,0.0,8472.81
1023164415,,,,,,,,,,,,,,,,410.0,0.0,48312.35,469.0,0.0,62670.65
1023174182,,,,,,,,,,,,,26.0,0.0,4781.51,136.0,0.0,23865.59,267.0,0.0,76350.93
1023197241,775.0,227236.55,834398.84,784.0,633884.32,624511.42,775.0,666130.81,628399.5,789.0,734760.42,602028.39,795.0,1049677.11,642933.46,812.0,1170249.93,609950.51,820.0,1453756.74,675791.49
1023252855,,,,,,,13.0,0.0,2951.73,13.0,0.0,1607.42,13.0,0.0,602.13,12.0,0.0,1706.02,15.0,0.0,1686.26
1023287489,323.0,0.0,74137.03,379.0,0.0,90053.93,304.0,0.0,79463.83,282.0,0.0,92922.93,,,,,,,,,
1023301330,,,,,,,,,,103.0,0.0,12452.0,118.0,0.0,13883.57,16.0,0.0,1773.91,,,
1023309499,,,,,,,,,,,,,66.0,,,91.0,,,95.0,,
1023351582,,,,,,,,,,,,,,,,201.0,0.0,34549.91,514.0,0.0,132700.47
1023363223,,,,,,,,,,,,,124.0,0.0,20909.74,484.0,,,363.0,0.0,132412.17
1023377595,,,,,,,,,,,,,,,,25.0,,,23.0,,
1023436391,,,,,,,,,,,,,,,,,,,89.0,0.0,8837.58
1033117189,329.0,0.0,80079.61,311.0,0.0,73362.18,274.0,0.0,64521.22,262.0,0.0,61221.15,268.0,0.0,49638.17,188.0,0.0,37368.56,164.0,0.0,30013.11
1033123203,464.0,7451.78,201071.56,440.0,1891.53,187590.99,423.0,11378.53,155988.84,374.0,1702.85,147548.84,461.0,24074.09,165620.69,488.0,35632.7,179236.78,476.0,19369.55,163868.08
1033160338,82.0,0.0,32927.7,80.0,0.0,21766.5,64.0,0.0,19706.25,43.0,0.0,12098.53,59.0,0.0,13609.38,69.0,0.0,13696.9,,,
1033174040,357.0,0.0,111920.64,439.0,0.0,120791.02,396.0,0.0,123714.9,403.0,0.0,127430.67,431.0,0.0,130602.45,375.0,0.0,124341.06,389.0,0.0,140696.23
1033175484,834.0,0.0,387860.21,738.0,0.0,395918.2,624.0,0.0,352806.29,561.0,0.0,321628.17,460.0,0.0,272197.42,386.0,0.0,285445.36,470.0,0.0,327888.5
1033178876,172.0,0.0,41289.77,158.0,0.0,31773.86,139.0,0.0,34804.37,154.0,0.0,39677.48,152.0,0.0,36459.33,156.0,0.0,36033.75,146.0,0.0,41872.49
1033182647,1353.0,8437.32,275330.31,1277.0,8976.06,277102.01,1143.0,7196.71,268572.21,1066.0,5615.91,212034.92,819.0,4681.16,167568.25,776.0,12247.5,160244.79,722.0,12447.81,143363.08
1033183413,1078.0,0.0,256954.82,1133.0,0.0,279332.05,962.0,0.0,251684.95,836.0,0.0,194095.76,814.0,0.0,181893.53,798.0,0.0,196417.32,757.0,0.0,187872.56
1033183934,544.0,0.0,252619.35,555.0,0.0,213837.02,478.0,0.0,143860.43,716.0,0.0,257055.21,965.0,0.0,332286.63,1142.0,0.0,385833.69,1268.0,0.0,376184.76
1033200639,560.0,0.0,106973.88,533.0,0.0,98514.98,519.0,0.0,100680.93,426.0,0.0,82165.1,355.0,0.0,64752.38,306.0,0.0,51926.6,322.0,,
1033225271,374.0,,,309.0,,,244.0,0.0,72304.37,185.0,0.0,49524.36,197.0,,,191.0,,,124.0,0.0,39815.27
1033228739,1397.0,0.0,378474.27,1451.0,0.0,379400.3,1579.0,0.0,301369.44,1534.0,0.0,299285.72,1393.0,0.0,264333.28,1394.0,0.0,242058.67,1380.0,0.0,263345.23
1033268503,525.0,0.0,83564.35,467.0,0.0,72503.24,399.0,0.0,64633.79,385.0,0.0,60515.87,417.0,0.0,68492.55,438.0,0.0,76661.8,463.0,0.0,90463.8
1033272372,57.0,0.0,15290.92,186.0,0.0,55491.54,109.0,0.0,17903.76,48.0,0.0,8202.99,207.0,0.0,37218.45,197.0,0.0,77763.57,,,
1033293261,938.0,3384.68,297381.14,920.0,2648.99,295450.47,832.0,1291.55,272353.92,811.0,1741.96,270117.44,759.0,1794.31,240778.86,713.0,,,720.0,,
1033297536,1439.0,0.0,504604.63,1677.0,0.0,587186.81,1901.0,0.0,628991.4,2015.0,0.0,619824.7,2178.0,0.0,686012.62,2118.0,0.0,714907.48,1899.0,0.0,708437.86
1033308358,60.0,,,181.0,,,200.0,,,114.0,,,14.0,0.0,2443.25,13.0,0.0,719.45,,,
1033351689,,,,,,,,,,206.0,31482.38,60682.79,570.0,433503.54,240534.03,622.0,796434.12,288665.52,711.0,855959.05,350844.67
1033384748,80.0,0.0,16876.97,107.0,0.0,37708.09,769.0,0.0,233469.22,866.0,0.0,274937.12,793.0,0.0,254623.04,755.0,0.0,212914.04,768.0,0.0,237666.34
1033406780,,,,,,,,,,,,,170.0,0.0,18625.41,381.0,50010.67,130671.84,647.0,445731.86,326934.63
1033407275,,,,,,,,,,,,,,,,32.0,0.0,2793.06,106.0,0.0,16249.24
1033407549,,,,,,,,,,,,,,,,224.0,21659.63,75928.99,575.0,168883.0,244443.42
1033435961,,,,,,,53.0,0.0,5888.7,282.0,0.0,40223.95,539.0,,,,,,,,
1033437678,,,,,,,,,,84.0,,,147.0,37179.37,47836.44,11.0,0.0,3675.13,12.0,0.0,3246.75
1043206022,460.0,0.0,122036.9,534.0,0.0,114922.7,624.0,0.0,155894.0,557.0,0.0,140350.67,563.0,0.0,160625.93,428.0,0.0,153441.67,458.0,0.0,147417.39
1043232325,106.0,,,146.0,0.0,23167.98,99.0,0.0,16843.76,114.0,0.0,15599.03,125.0,0.0,18163.63,174.0,0.0,21208.54,139.0,0.0,20284.69
1043244437,643.0,923129.22,469429.3,623.0,997607.95,336940.62,645.0,919901.7,332206.36,680.0,985752.77,326001.52,705.0,942917.91,365912.48,743.0,1343108.63,457781.91,808.0,1453325.61,530705.52
1043245624,505.0,0.0,241356.66,556.0,0.0,243943.64,569.0,0.0,246565.81,399.0,0.0,108442.01,,,,,,,,,
1043253347,1567.0,0.0,578089.4,1545.0,,,1475.0,0.0,485412.35,1519.0,,,1385.0,,,1470.0,,,1652.0,,
1043256175,871.0,2070.84,394063.81,868.0,1685.91,366419.84,749.0,1371.92,275485.93,657.0,1080.26,255094.59,631.0,3833.24,230097.75,596.0,3896.59,188801.72,595.0,4966.99,171709.84
1043257892,403.0,,,387.0,,,377.0,,,368.0,26875.08,66976.6,374.0,41566.83,71272.48,352.0,20035.07,57375.61,339.0,21317.67,57446.26
1043261134,243.0,0.0,15426.38,,,,,,,,,,,,,,,,,,
1043261373,3442.0,196097.45,1580518.23,2478.0,159944.66,1170516.96,1938.0,24672.19,1115624.51,2047.0,88743.33,1149462.2,1978.0,266701.27,947256.8,1881.0,334477.43,835307.74,1474.0,162363.39,664714.47
1043262074,29.0,0.0,2834.83,29.0,0.0,2757.35,44.0,0.0,6122.16,40.0,0.0,5740.16,37.0,0.0,3542.98,40.0,0.0,3783.7,46.0,0.0,5896.54
1043262314,126.0,,,127.0,,,274.0,0.0,72921.59,368.0,,,389.0,,,406.0,0.0,94976.06,373.0,,
1043276140,2475.0,7734.5,964032.29,2397.0,9410.07,995235.75,2218.0,10895.57,954087.44,1987.0,18815.99,891459.87,1969.0,26465.06,960035.43,1932.0,25043.38,705279.81,1928.0,33821.64,887252.08
1043277361,1092.0,,,1156.0,,,1068.0,,,1068.0,,,791.0,,,694.0,0.0,195412.04,878.0,0.0,271221.26
1043284250,725.0,,,658.0,,,588.0,,,706.0,,,528.0,,,,,,,,
1043292030,484.0,0.0,137044.08,433.0,0.0,103313.81,387.0,0.0,80002.16,294.0,0.0,67698.78,267.0,0.0,63470.83,243.0,0.0,58472.5,223.0,0.0,58010.93
1043294507,510.0,0.0,169819.55,495.0,0.0,151704.5,441.0,0.0,137621.94,435.0,0.0,131205.61,453.0,0.0,145485.26,468.0,0.0,142900.41,448.0,0.0,135678.07
1043301740,94.0,115417.47,44926.37,57.0,106553.87,21403.13,52.0,92389.58,19309.66,51.0,111822.11,20872.7,54.0,92316.31,20591.57,47.0,84236.99,17221.58,39.0,,
1043304173,979.0,0.0,288832.02,950.0,0.0,260894.17,894.0,0.0,223557.53,800.0,0.0,196827.7,752.0,0.0,179131.22,789.0,0.0,239147.53,853.0,,
1043304280,1374.0,0.0,671897.39,1385.0,0.0,711336.55,1341.0,0.0,662191.45,1424.0,0.0,720782.33,1396.0,0.0,670886.26,1450.0,0.0,649235.68,1448.0,0.0,618251.82
1043345366,2760.0,,,3039.0,,,3008.0,,,3103.0,,,3216.0,78844.81,693619.31,3172.0,123042.61,736353.28,3082.0,121624.37,703910.97
1043377286,,,,329.0,0.0,121894.71,388.0,0.0,143812.8,448.0,0.0,153626.42,487.0,0.0,178332.05,415.0,0.0,224456.45,408.0,0.0,156569.37
1043395098,940.0,52637.8,263657.49,881.0,87792.9,274483.33,741.0,68003.48,212974.32,698.0,53059.75,176433.19,949.0,75314.53,248925.47,840.0,235372.44,241894.4,873.0,256296.95,251371.46
1043412489,938.0,403720.54,672401.75,951.0,765534.66,525081.6,986.0,502701.47,560897.24,917.0,635799.4,563691.82,855.0,644332.92,528840.25,922.0,624244.87,510656.0,1023.0,895659.08,593401.66
1043442809,,,,,,,352.0,0.0,46596.72,428.0,355505.87,116380.38,552.0,614345.73,311936.83,598.0,707569.21,309654.17,666.0,622852.36,362145.88
1043464498,,,,,,,,,,152.0,0.0,14732.73,323.0,0.0,27066.05,287.0,0.0,22221.02,178.0,0.0,27982.11
1043483944,171.0,0.0,24510.54,171.0,0.0,22550.78,96.0,0.0,11618.35,197.0,0.0,26272.57,170.0,0.0,23594.21,111.0,0.0,19818.21,150.0,0.0,23137.06
1043502347,,,,,,,,,,197.0,,,367.0,47579.71,76551.57,434.0,257801.22,184234.27,487.0,226293.34,208980.55
1043530777,,,,,,,84.0,,,214.0,22894.87,45372.21,246.0,51622.67,70968.29,219.0,228673.4,105857.81,261.0,336421.78,158671.75
1043624588,,,,,,,,,,,,,,,,,,,81.0,0.0,24116.45
1053306381,969.0,887211.19,847447.59,968.0,1372859.29,665702.81,971.0,1166820.71,598419.69,946.0,1217874.37,576001.65,953.0,1392813.4,585107.2,981.0,1582444.09,575544.1,1020.0,1969358.75,612670.43
